;Current Official Name of Satellite;Country of Operator/Owner;Operator/Owner;Users;Purpose;Detailed Purpose;Class of Orbit;Launch Mass (kg.);Dry Mass (kg.);Date of Launch;Expected Lifetime (yrs.);Contractor;Country of Contractor;Launch Vehicle;Comments;Country of Operator/Owner_agg;Country of Contractor_agg;Launcher_country;Purpose_agg
1141;Koreasat 5;South Korea;KT Corporation/Korean Agency for Defense Development (ADD);Military/Commercial;Communications;;GEO;4450.0;;2006;;Thales Alenia Space;France/Italy;Zenit 3SL;24 Ku-band, 8 SHF-band, and 4 Ka-band transponders for commercial and military use.;ROW;EU;ROW;communication_and_positionning
1142;Koreasat 5A;South Korea;KT Corporation;Commercial;Communications;;GEO;3700.0;;2017;15.0;Thales Alenia Space;France/Italy;Falcon 9;Carries 36 Ku-band transponders, providing Internet access, television broadcast and other multimedia services in Korea, Japan, the Philippines, Guam, Southeast Asia, and South Asia.;ROW;EU;USA;communication_and_positionning
1143;Koreasat 6;South Korea;KT Corporation;Commercial;Communications;;GEO;2850.0;1150;2010;15.0;Orbital Sciences Corp.;USA;Ariane 5;Enhanced HD and 3D satellite TV programs. 30 Ku-and transponders. Will replace Koreasat 3.;ROW;USA;EU;communication_and_positionning
1144;Koreasat 7;South Korea;KT Corporation;Commercial;Communications;;GEO;3680.0;;2017;15.0;Thales Alenia Space;France/Italy;Ariane 5;;ROW;EU;EU;communication_and_positionning
1145;KX-09;China;Chinese Academy of Sciences;Government;Space Science;;LEO;;;2019;;Chinese Academy of Sciences;China;Kuaizhou 1A;Conduct unspecified microgravity technology experiments in orbit;China;China;China;space_science
1147;USA 152;USA;National Reconnaissance Office (NRO);Military;Earth Observation;Radar Imaging;LEO;14500.0;;2000;9.0;Lockheed Martin Astronautics;USA;Titan IV;"$1 billion range; 3-10 ft. image resolution.";USA;USA;USA;earth_observation_and_surveillance
1148;USA 182;USA;National Reconnaissance Office (NRO);Military;Earth Observation;Radar Imaging;LEO;14500.0;;2005;9.0;Lockheed Martin Astronautics;USA;Titan 4B;$1 billion range.;USA;USA;USA;earth_observation_and_surveillance
1149;Ladybird 1;China;Beijing Commsat Technology Development Co. Ltd.;Commercial;Technology Development;Internet of Things (IoT);LEO;100.0;;2018;;Beijing Commsat Technology Development Co. Ltd.;China;Long March 2D;IoT data relay.;China;China;China;increase_mission_performance_and_technology
1150;Ladybird 2;China;Beijing Commsat Technology Development Co. Ltd.;Commercial;Technology Development;Internet of Things (IoT);LEO;8.0;;2018;;Beijing Commsat Technology Development Co. Ltd.;China;Long March 2D;IoT data relay.;China;China;China;increase_mission_performance_and_technology
1151;Ladybird 3;China;Beijing Commsat Technology Development Co. Ltd.;Commercial;Technology Development;Internet of Things (IoT);LEO;8.0;;2018;;Beijing Commsat Technology Development Co. Ltd.;China;Long March 2D;IoT data relay.;China;China;China;increase_mission_performance_and_technology
1152;Ladybird 4;China;Beijing Commsat Technology Development Co. Ltd.;Commercial;Technology Development;Internet of Things (IoT);LEO;8.0;;2018;;Beijing Commsat Technology Development Co. Ltd.;China;Long March 2D;IoT data relay.;China;China;China;increase_mission_performance_and_technology
1153;Ladybird 5;China;Beijing Commsat Technology Development Co. Ltd.;Commercial;Technology Development;Internet of Things (IoT);LEO;4.0;;2018;;Beijing Commsat Technology Development Co. Ltd.;China;Long March 2D;IoT data relay.;China;China;China;increase_mission_performance_and_technology
1154;Ladybird 6;China;Beijing Commsat Technology Development Co. Ltd.;Commercial;Technology Development;Internet of Things (IoT);LEO;4.0;;2018;;Beijing Commsat Technology Development Co. Ltd.;China;Long March 2D;IoT data relay.;China;China;China;increase_mission_performance_and_technology
1155;Ladybird 7;China;Beijing Commsat Technology Development Co. Ltd.;Commercial;Technology Development;Internet of Things (IoT);LEO;4.0;;2018;;Beijing Commsat Technology Development Co. Ltd.;China;Long March 2D;IoT data relay.;China;China;China;increase_mission_performance_and_technology
1156;Landmapper BC3.v2;USA;Astro Digital;Commercial;Earth Observation;Optical Imaging;LEO;11.0;;2018;5.0;Astro Digital;USA;PSLV;Color and infrared cameras for wide-area imaging. 10 satellite fleet planned.;USA;USA;India;earth_observation_and_surveillance
1157;Landmapper BC4;USA;Astro Digital;Commercial;Earth Observation ;Multispectral Imaging;LEO;11.0;;2018;5.0;Astro Digital;USA;Falcon 9;Planned constellation of EO satellite using multispectral imaging.;USA;USA;USA;earth_observation_and_surveillance
1159;Landsat 8;USA;National Aeronautics and Space Administration (NASA)/US Geological Survey;Government;Earth Observation;Earth Science;LEO;2780.0;1512;2013;5.0;Orbital Sciences Corp.;USA;Atlas 5;Replacement for Landsat 5.;USA;USA;USA;earth_observation_and_surveillance
1160;LaoSat-1;Laos;Laos National Authority for Science and Technology;Government;Communications;;GEO;3800.0;;2015;15.0;China Academy of Space Technology (CAST);China;Long March 3B;First satellite for Laos - co-owned with the China Asia-Pacific Mobile Telecommunications Satellite Co. ;ROW;China;China;communication_and_positionning
1161;LAPAN A2;Indonesia;Indonesian National Aeronautics and Space Agency (Lembaga Penerbangan dan Antariksa Nasional - LAPAN);Government;Earth Observation;Earth Science;LEO;68.0;;2015;;Indonesian National Institute of Aeronautics and Space;Indonesia;PSLV C-30;Disaster mitigation monitoring by Earth observation, also for land use, natural resources and environment monitoring.;ROW;ROW;USA;earth_observation_and_surveillance
1162;LAPAN A3;Indonesia;Indonesian National Aeronautics and Space Agency (Lembaga Penerbangan dan Antariksa Nasional - LAPAN);Government;Earth Observation;Automatic Identification System (AIS);LEO;115.0;;2016;;Indonesian National Institute of Aeronautics and Space;Indonesia;PSLV XL;Experimental remote sensing mission. Carries AIS and amateur radio.;ROW;ROW;USA;earth_observation_and_surveillance
1163;LAPAN-Tubsat;Indonesia;Indonesian National Aeronautics and Space Agency (Lembaga Penerbangan dan Antariksa Nasional - LAPAN);Government;Earth Observation/Technology Development;Optical Imaging;LEO;60.0;;2007;;Technical University Berlin;Germany;PSLV C7;"Video camera surveillance microsatellite; based on German DLR-Tubsat; will perform experiments in attitude control and earth observation.";ROW;EU;USA;earth_observation_and_surveillance
1164;LatinSat A;Argentina;Aprize Satellite Argentina;Commercial;Communications;;LEO;;12;2002;;SpaceQuest;USA;Dnepr;"Nanosatellite; planned constellation of 48 satellites, little LEO; asset tracking and monitoring services.";ROW;USA;ROW;communication_and_positionning
1165;LatinSat B;Argentina;Aprize Satellite Argentina;Commercial;Communications;;LEO;;12;2002;;SpaceQuest;USA;Dnepr;"Nanosatellite; planned constellation of 48 satellites, little LEO; asset tracking and monitoring services.";ROW;USA;ROW;communication_and_positionning
1166;Lemur-1;USA;Spire Global Inc.;Commercial;Technology Development;;LEO;4.0;;2014;;NanoSatisfi Inc.;USA;Dnepr;Prototype. Earth imaging constellation.;USA;USA;ROW;increase_mission_performance_and_technology
1167;Lemur 2F80;USA;Spire Global Inc.;Commercial;Earth Observation;Meteorology, Automatic Identification System (AIS);LEO;4.0;;2018;;Spire Global;USA;Nanorack Deployer;;USA;USA;USA;earth_observation_and_surveillance
1168;Lemur 2F4;USA;Spire Global Inc.;Commercial;Earth Observation;Meteorology, Automatic Identification System (AIS);LEO;4.0;;2015;;Spire Global;USA;PSLV C-30;;USA;USA;USA;earth_observation_and_surveillance
1169;Lemur 2F3;USA;Spire Global Inc.;Commercial;Earth Observation;Meteorology, Automatic Identification System (AIS);LEO;4.0;;2015;;Spire Global;USA;PSLV C-30;;USA;USA;USA;earth_observation_and_surveillance
1170;Lemur 2F1;USA;Spire Global Inc.;Commercial;Earth Observation;Meteorology, Automatic Identification System (AIS);LEO;4.0;;2015;;Spire Global;USA;PSLV C-30;Start of a 100-satellite constellation for full worldwide weather and other data every five minutes.;USA;USA;USA;earth_observation_and_surveillance
1171;Lemur 2F2;USA;Spire Global Inc.;Commercial;Earth Observation;Meteorology, Automatic Identification System (AIS);LEO;4.0;;2015;;Spire Global;USA;PSLV C-30;;USA;USA;USA;earth_observation_and_surveillance
1172;Lemur 2FM106;USA;Spire Global Inc.;Commercial;Earth Observation;Meteorology, Automatic Identification System (AIS);LEO;4.0;;2019;;Spire Global;USA;Soyuz 2.1b;;USA;USA;Russia;earth_observation_and_surveillance
1173;Lemur 2F47;USA;Spire Global Inc.;Commercial;Earth Observation;Meteorology, Automatic Identification System (AIS);LEO;4.0;;2017;;Spire Global;USA;Soyuz 2.1a;;USA;USA;Russia;earth_observation_and_surveillance
1174;Lemur 2F31;USA;Spire Global Inc.;Commercial;Earth Observation;Meteorology, Automatic Identification System (AIS);LEO;4.0;;2017;;Spire Global;USA;Nanorack Deployer;;USA;USA;USA;earth_observation_and_surveillance
1175;Lemur 2F16;USA;Spire Global Inc.;Commercial;Earth Observation;Meteorology, Automatic Identification System (AIS);LEO;4.0;;2016;;Spire Global;USA;Antares 230;;USA;USA;USA;earth_observation_and_surveillance
1176;Lemur 2F43;USA;Spire Global Inc.;Commercial;Earth Observation;Meteorology, Automatic Identification System (AIS);LEO;4.0;;2017;;Spire Global;USA;Soyuz 2.1a;;USA;USA;Russia;earth_observation_and_surveillance
1177;Lemur 2FM98;USA;Spire Global Inc.;Commercial;Earth Observation;Meteorology, Automatic Identification System (AIS);LEO;4.0;;2019;;Spire Global;USA;PSLV;;USA;USA;India;earth_observation_and_surveillance
1178;Lemur 2F52;USA;Spire Global Inc.;Commercial;Earth Observation;Meteorology, Automatic Identification System (AIS);LEO;4.0;;2017;;Spire Global;USA;Nanorack Deployer;;USA;USA;USA;earth_observation_and_surveillance
1179;Lemur 2F71;USA;Spire Global Inc.;Commercial;Earth Observation;Meteorology, Automatic Identification System (AIS);LEO;4.0;;2018;;Spire Global;USA;PSLV;;USA;USA;India;earth_observation_and_surveillance
1180;Lemur 2F83;USA;Spire Global Inc.;Commercial;Earth Observation;Meteorology, Automatic Identification System (AIS);LEO;4.0;;2018;;Spire Global;USA;Electron;;USA;USA;USA;earth_observation_and_surveillance
1181;Lemur 2F90;USA;Spire Global Inc.;Commercial;Earth Observation;Meteorology, Automatic Identification System (AIS);LEO;4.0;;2018;;Spire Global;USA;Soyuz 2.1a;;USA;USA;Russia;earth_observation_and_surveillance
1182;Lemur 2F95;USA;Spire Global Inc.;Commercial;Earth Observation;Meteorology, Automatic Identification System (AIS);LEO;4.0;;2018;;Spire Global;USA;Soyuz 2.1a;;USA;USA;Russia;earth_observation_and_surveillance
1183;Lemur2F69;USA;Spire Global Inc.;Commercial;Earth Observation;Meteorology, Automatic Identification System (AIS);LEO;4.0;;2018;;Spire Global;USA;PSLV;;USA;USA;India;earth_observation_and_surveillance
1184;Lemur 2F49;USA;Spire Global Inc.;Commercial;Earth Observation;Meteorology, Automatic Identification System (AIS);LEO;4.0;;2017;;Spire Global;USA;Soyuz 2.1a;;USA;USA;Russia;earth_observation_and_surveillance
1185;Lemur 2F87;USA;Spire Global Inc.;Commercial;Earth Observation;Meteorology, Automatic Identification System (AIS);LEO;4.0;;2018;;Spire Global;USA;PSLV;One of two Lemur satellites sponsored by ESA.;USA;USA;India;earth_observation_and_surveillance
1186;Lemur 2F57;USA;Spire Global Inc.;Commercial;Earth Observation;Meteorology, Automatic Identification System (AIS);LEO;4.0;;2017;;Spire Global;USA;Nanorack Deployer;;USA;USA;USA;earth_observation_and_surveillance
1187;Lemur 2FM105;USA;Spire Global Inc.;Commercial;Earth Observation;Meteorology, Automatic Identification System (AIS);LEO;4.0;;2019;;Spire Global;USA;Soyuz 2.1b;;USA;USA;Russia;earth_observation_and_surveillance
1188;Lemur2FM104;USA;Spire Global Inc.;Commercial;Earth Observation;Meteorology, Automatic Identification System (AIS);LEO;4.0;;2019;;Spire Global;USA;Soyuz 2.1b;;USA;USA;Russia;earth_observation_and_surveillance
1189;Lemur 2FM99;USA;Spire Global Inc.;Commercial;Earth Observation;Meteorology, Automatic Identification System (AIS);LEO;4.0;;2019;;Spire Global;USA;PSLV;;USA;USA;India;earth_observation_and_surveillance
1190;Lemur 2F45;USA;Spire Global Inc.;Commercial;Earth Observation;Meteorology, Automatic Identification System (AIS);LEO;4.0;;2017;;Spire Global;USA;Soyuz 2.1a;;USA;USA;Russia;earth_observation_and_surveillance
1191;Lemur 2F42;USA;Spire Global Inc.;Commercial;Earth Observation;Meteorology, Automatic Identification System (AIS);LEO;4.0;;2017;;Spire Global;USA;Soyuz 2.1a;;USA;USA;Russia;earth_observation_and_surveillance
1192;Lemur 2FM108;USA;Spire Global Inc.;Commercial;Earth Observation;Meteorology, Automatic Identification System (AIS);LEO;4.0;;2019;;Spire Global;USA;Soyuz 2.1b;;USA;USA;Russia;earth_observation_and_surveillance
1193;Lemur 2F89;USA;Spire Global Inc.;Commercial;Earth Observation;Meteorology, Automatic Identification System (AIS);LEO;4.0;;2018;;Spire Global;USA;Soyuz 2.1a;;USA;USA;Russia;earth_observation_and_surveillance
1194;Lemur 2FM109;USA;Spire Global Inc.;Commercial;Earth Observation;Meteorology, Automatic Identification System (AIS);LEO;4.0;;2019;;Spire Global;USA;PSLV;;USA;USA;India;earth_observation_and_surveillance
1195;Lemur 2F30;USA;Spire Global Inc.;Commercial;Earth Observation;Meteorology, Automatic Identification System (AIS);LEO;4.0;;2017;;Spire Global;USA;Nanorack Deployer;;USA;USA;USA;earth_observation_and_surveillance
1196;Lemur2F76;USA;Spire Global Inc.;Commercial;Earth Observation;Meteorology, Automatic Identification System (AIS);LEO;4.0;;2018;;Spire Global;USA;Soyuz 2.1a;;USA;USA;Russia;earth_observation_and_surveillance
1197;Lemur 2F22;USA;Spire Global Inc.;Commercial;Earth Observation;Meteorology, Automatic Identification System (AIS);LEO;4.0;;2017;;Spire Global;USA;PSLV-XL;;USA;USA;USA;earth_observation_and_surveillance
1198;Lemur 2FM97;USA;Spire Global Inc.;Commercial;Earth Observation;Meteorology, Automatic Identification System (AIS);LEO;4.0;;2019;;Spire Global;USA;PSLV;;USA;USA;India;earth_observation_and_surveillance
1199;Lemur 2FM110;USA;Spire Global Inc.;Commercial;Earth Observation;Meteorology, Automatic Identification System (AIS);LEO;4.0;;2019;;Spire Global;USA;PSLV;;USA;USA;India;earth_observation_and_surveillance
1200;Lemur2F74;USA;Spire Global Inc.;Commercial;Earth Observation;Meteorology, Automatic Identification System (AIS);LEO;4.0;;2018;;Spire Global;USA;Soyuz 2.1a;;USA;USA;Russia;earth_observation_and_surveillance
1201;Lemur 2F51;USA;Spire Global Inc.;Commercial;Earth Observation;Meteorology, Automatic Identification System (AIS);LEO;4.0;;2017;;Spire Global;USA;Nanorack Deployer;;USA;USA;USA;earth_observation_and_surveillance
1202;Lemur 2F86;USA;Spire Global Inc.;Commercial;Earth Observation;Meteorology, Automatic Identification System (AIS);LEO;4.0;;2018;;Spire Global;USA;PSLV;;USA;USA;India;earth_observation_and_surveillance
1203;Lemur 2F37;USA;Spire Global Inc.;Commercial;Earth Observation;Meteorology, Automatic Identification System (AIS);LEO;4.0;;2017;;Spire Global;USA;PSLV;;USA;USA;India;earth_observation_and_surveillance
1204;Lemur 2FM107;USA;Spire Global Inc.;Commercial;Earth Observation;Meteorology, Automatic Identification System (AIS);LEO;4.0;;2019;;Spire Global;USA;Soyuz 2.1b;;USA;USA;Russia;earth_observation_and_surveillance
1205;Lemur 2F40;USA;Spire Global Inc.;Commercial;Earth Observation;Meteorology, Automatic Identification System (AIS);LEO;4.0;;2017;;Spire Global;USA;PSLV;;USA;USA;India;earth_observation_and_surveillance
1206;Lemur 2F55;USA;Spire Global Inc.;Commercial;Earth Observation;Meteorology, Automatic Identification System (AIS);LEO;4.0;;2017;;Spire Global;USA;Nanorack Deployer;;USA;USA;USA;earth_observation_and_surveillance
1207;Lemur 2F36;USA;Spire Global Inc.;Commercial;Earth Observation;Meteorology, Automatic Identification System (AIS);LEO;4.0;;2017;;Spire Global;USA;PSLV;;USA;USA;India;earth_observation_and_surveillance
1208;Lemur 2F41;USA;Spire Global Inc.;Commercial;Earth Observation;Meteorology, Automatic Identification System (AIS);LEO;4.0;;2017;;Spire Global;USA;PSLV;;USA;USA;India;earth_observation_and_surveillance
1209;Lemur 2F73;USA;Spire Global Inc.;Commercial;Earth Observation;Meteorology, Automatic Identification System (AIS);LEO;4.0;;2018;;Spire Global;USA;Electron;First launch by Rocket Labs.;USA;USA;USA;earth_observation_and_surveillance
1210;Lemur 2F70;USA;Spire Global Inc.;Commercial;Earth Observation;Meteorology, Automatic Identification System (AIS);LEO;4.0;;2018;;Spire Global;USA;PSLV;;USA;USA;India;earth_observation_and_surveillance
